name,attack,health,tribute,duplicate
Thunderbird Titan,3,5,4,0
Golden Eagle,4,2,3,0
Griffin Vulture,3,4,3,0
Peregrine Falcon,3,3,2,0
Barn Owl,2,5,1,0
Storm Crow,3,4,2,0
Giant Condor,2,6,2,0
Harpy Eagle,3,5,3,0
Wind Serpent,4,1,2,0
Albatross,2,5,1,0
Sparrow Hawk,3,3,1,0
Stork Walker,2,5,1,0
Vulture Matriarch,2,6,2,0
Fire Kite Hawk,3,4,2,0
Giant Moth,2,5,1,0
Horned Owl,2,4,1,0
Kite Falcon,3,4,1,0
Winged Fox,2,5,1,0
Heron,2,5,1,0
Crane,3,4,1,0
Bat Swarm,1,3,0,3
Dragonfly,1,2,0,3
Swallow Bird,2,2,0,2
Buzzard,1,4,0,2
Pigeon Flock,1,2,0,2
Osprey,3,2,0,2
