name,attack,health,tribute,duplicate
Terra Goliath,3,7,4,0
Dire Bear,3,6,3,0
Stone Rhino,4,2,3,0
Burrowing Warthog,2,6,2,0
Giant Tortoise,1,7,2,0
Mud Crocodile,3,5,2,0
Highland Yak,2,6,1,0
Earth Owl,2,5,1,0
Canyon Ram,3,3,1,0
Boulder Crab,1,6,2,0
Forest Boar,3,4,1,0
Sand Monitor Lizard,2,5,1,0
Rocky Badger,2,4,1,0
Ground Sloth,1,6,1,0
Stone Mantis,4,1,2,0
Mud Turtle,1,6,1,0
Burrow Falcon,3,3,2,0
Thorn Hedgehog,2,4,1,0
Tunnel Mole,1,3,0,3
Clay Spider,1,2,0,3
Giant Earthworm,1,4,0,2
Mud Toad,2,2,0,2
Ant Colony Swarm,1,2,0,2
Burrow Skunk,1,3,0,2
Mountain Goat,2,2,0,0
Canyon Vulture,2,3,1,0
