name,attack,health,tribute,duplicate
Leviathan Serpent,3,6,4,0
Great White Shark,4,2,3,0
Orca Hunter,3,5,3,0
Electric Eel,3,4,2,0
Giant Squid,3,5,2,0
Sea Turtle,1,7,2,0
Stingray,2,5,1,0
Seal Diver,2,4,1,0
Blue Whale Calf,1,6,1,0
Barracuda,3,3,1,0
Sea Snake,2,4,1,0
Octopus Trickster,2,5,1,0
Giant Crab,2,6,2,0
Hammerhead Shark,3,4,2,0
Manta Ray,2,5,1,0
Swordfish,4,1,2,0
Coral Golem,2,6,2,0
Deep Angler,2,4,1,0
Sea Lion,2,5,1,0
Moray Eel,3,3,1,0
Piranha Swarm,2,2,0,3
Jellyfish Bloom,1,3,0,3
Squid Hatchling,1,2,0,2
Mudskipper,1,3,0,2
Clam Guardian,1,4,0,2
Polar Seal,2,2,0,2
